name,rate,location,cuisines,cost_for_two,type
Kamat Bugle Rock,3.9,Basavanagudi,"South Indian, Fast Food",300,Delivery
Woodee Pizza,3.7,Banashankari,"Cafe, Pizza, Fast Food, Beverages",500,Delivery
Puliyogare Point,4.2,Basavanagudi,South Indian,100,Delivery
Bangalore Agarwal Bhavan,3.9,Jayanagar,"Street Food, North Indian, South Indian",400,Delivery
Rustic Stove,3.8,Jayanagar,"North Indian, South Indian, Biryani, Beverages",900,Delivery
Udupi Ruchi Grand,4.2,Banashankari,"South Indian, North Indian, Chinese, Street Food",200,Delivery
De Thaali,3.9,Jayanagar,"North Indian, Chinese, Rolls",550,Delivery
Spice Elephant,4.1,Banashankari,"Chinese, North Indian, Thai",800,Delivery
Just Thindi,3.6,Basavanagudi,South Indian,200,Delivery
Matru Sagar,3.6,Banashankari,"South Indian, North Indian, Chinese",250,Delivery
Vasanth Vihar - Since 1965,3.6,Banashankari,"South Indian, Street Food",150,Delivery
Sea Spice by 7 Star,4,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",1200,Delivery
Desi Dawat,3.7,Kumaraswamy Layout,"North Indian, Fast Food",400,Delivery
Cafe Aira,4.1,Basavanagudi,"Cafe, Continental, Beverages, Desserts",500,Delivery
Donne Biriyani combos,3.7,Kumaraswamy Layout,Biryani,400,Delivery
Penthouse Cafe,4,Banashankari,"Cafe, Italian, Continental",700,Delivery
Mast Punjabi,2.6,Kumaraswamy Layout,"North Indian, Chinese, Rolls, Biryani, Kebab",400,Delivery
Catch-up-ino,3.9,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",800,Delivery
The Pizzeria,2.8,Banashankari,"Pizza, Italian, Salad",800,Delivery
Cafe Zone,3.9,Kumaraswamy Layout,"Fast Food, Chinese, Rolls",300,Delivery
Ruchis Point,3.8,Banashankari,"Fast Food, Chinese",200,Delivery
The Royal Corner - Pai Viceroy,4.2,Jayanagar,"North Indian, Chinese",900,Delivery
Hara Fine Dine,4,Banashankari,"North Indian, Chinese",800,Delivery
Chocoberry,3.5,Jayanagar,"Ice Cream, Desserts, Beverages",400,Delivery
Dakshin Grand,3,Banashankari,"South Indian, North Indian, Chinese, Street Food",300,Delivery
Sandwichwallas,3.7,Jayanagar,Fast Food,200,Delivery
Chai Mane,3.6,Basavanagudi,"Juices, Fast Food",150,Delivery
SLV Upachar,3.1,Kumaraswamy Layout,"South Indian, Chinese, Street Food",250,Delivery
Waffle-A-Go Go,3.9,Banashankari,"Fast Food, Desserts, Ice Cream",400,Delivery
Cross Road Cafe,3.9,Jayanagar,"Cafe, Fast Food, Chinese",300,Delivery
Anand Donne Biriyani,3.6,Jayanagar,Biryani,200,Delivery
Seven Star,3.4,Banashankari,"North Indian, Chinese",250,Delivery
Stop 'N' Joy,3.8,Banashankari,Fast Food,150,Delivery
Sri Yaksha Shiv Sagar,3.6,Banashankari,"North Indian, Chinese",600,Delivery
Fudge,3.8,Basavanagudi,"Desserts, Momos",200,Delivery
Just Bunny,3.5,Jayanagar,Fast Food,200,Delivery
Bakers Town,3.8,Kumaraswamy Layout,"Cafe, Continental, Fast Food",650,Delivery
Shree Mahalakshmi Sweets,3.2,Banashankari,"Mithai, Street Food",100,Delivery
Kaapi Kendra,3.7,Jayanagar,South Indian,100,Delivery
Ivy,3.8,Kumaraswamy Layout,"North Indian, Chinese, Fast Food",600,Delivery
The Airos,4.1,Jayanagar,"Cafe, Italian, Pizza",650,Delivery
Chai Kraft,4.1,Jayanagar,"Beverages, Tea",100,Delivery
Kirthi's Biryani,3.8,Banashankari,"Chinese, Cafe, Italian",700,Delivery
South Point Pub,3.4,Basavanagudi,"North Indian, Seafood, Chinese",800,Delivery
The Trundle,3.7,Jayanagar,"Chinese, Thai, Continental, North Indian",700,Delivery
The Krishna Grand Xpress,4,Jayanagar,"South Indian, Fast Food",350,Delivery
Sri Krishna Darshini,3.1,Basavanagudi,"South Indian, North Indian, Chinese",200,Delivery
Shringar Sweets & Snacks,3.5,Basavanagudi,"Mithai, South Indian, Street Food, Fast Food",200,Delivery
Udupi Grand,3.8,Basavanagudi,"South Indian, North Indian, Chinese",300,Delivery
Ganesh Grand,3.7,Basavanagudi,"South Indian, North Indian, Desserts",300,Delivery
Shreyas Upahar & Burger Point,3,Basavanagudi,"South Indian, Burger",200,Delivery
Coffee Tindi,3.8,Banashankari,"Cafe, South Indian",200,Delivery
Little Cafe,3.7,Basavanagudi,"Cafe, Beverages",600,Delivery
Mumbai Badam Milk & Lassi Center,3.6,Basavanagudi,"Beverages, Desserts",100,Delivery
Sri Krishna Sagar,3.2,Banashankari,"North Indian, Chinese",400,Delivery
Mylari Biryani Family Restaurant,3.7,Banashankari,"Biryani, Fast Food",400,Delivery
1980s Games Cafe,3.4,Basavanagudi,"Cafe, Fast Food",400,Delivery
Kadala Tarangaa,3.6,Banashankari,"Mangalorean, Seafood, North Indian",600,Delivery
